ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12595917,JF117090,01/18/2022 06:00:00 PM,039XX W AUGUSTA BLVD,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,FALSE,FALSE,1112,11,37,23,3,1150002,1906388,2022,01/03/2023 15:40,41.89903938,-87.72449388,"(41.899039377, -87.724493883)"
12620144,JF146962,02/17/2022 12:00:00 AM,082XX S LAFAYETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,622,6,21,44,14,1177376,1850268,2022,01/03/2023 15:40,41.74446431,-87.62564848,"(41.744464307, -87.625648478)"
12605606,JF129065,01/30/2022 08:55:00 PM,111XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,531,5,9,49,08B,1180888,1831281,2022,01/03/2023 15:40,41.69228161,-87.61336198,"(41.692281606, -87.613361976)"
12619995,JF146745,02/16/2022 06:40:00 PM,028XX S KILDARE AVE,1020,ARSON,BY FIRE,STREET,FALSE,FALSE,1031,10,22,30,9,1148183,1884840,2022,01/03/2023 15:40,41.83994433,-87.73172975,"(41.839944326, -87.731729746)"
12597981,JF119545,01/21/2022 08:13:00 AM,030XX S DR MARTIN LUTHER KING JR DR,560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,TRUE,FALSE,133,1,4,35,08A,1179306,1885032,2022,01/03/2023 15:40,41.83981621,-87.61751617,"(41.839816207, -87.617516172)"
12595075,JF116104,01/17/2022 10:44:00 PM,015XX S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1021,10,24,29,08B,1153949,1892316,2022,01/03/2023 15:40,41.86034658,-87.71037177,"(41.860346575, -87.710371769)"
12603026,JF125711,01/18/2022 01:00:00 PM,004XX E LOWER WACKER DR,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,114,1,42,32,7,1179263,1902486,2022,01/03/2023 15:40,41.887712,-87.61713965,"(41.887711996, -87.617139647)"
12630270,JF159433,03/01/2022 7:50,012XX W FLOURNOY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1231,12,28,28,14,1168190,1897114,2022,01/03/2023 15:40,41.87321723,-87.65795816,"(41.873217231, -87.657958155)"
12613324,JF138737,02/08/2022 17:33,013XX E 72ND PL,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,FALSE,FALSE,324,3,8,43,26,1186467,1857200,2022,01/03/2023 15:40,41.76327639,-87.5921195,"(41.763276389, -87.592119503)"
12621835,JF149088,02/18/2022 10:50:00 PM,083XX S SAGINAW AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,FALSE,TRUE,423,4,7,46,04B,1195283,1850217,2022,01/03/2023 15:40,41.7439015,-87.56003782,"(41.743901503, -87.560037823)"
